year,rain_50m_pct,rain_ar_pct,totbal_50m_pct,totbal_ar_pct
2000,4.127,,8.767,
2001,4.614,,7.148000000000001,
2002,1.656,,2.887,
2003,0.722,,2.656,
2004,1.844,,5.247,
2005,2.46,,9.017,
2006,4.553,,11.802,
2007,4.739,,11.328000000000001,
2008,4.835,,8.292,
2009,2.7279999999999998,,4.583,
2010,1.638,,4.488,
2011,1.7610000000000001,,6.368,
2012,2.486,,7.9079999999999995,
2013,3.558,,9.957,
2014,4.5249999999999995,,7.292999999999999,
2015,4.918,,9.203999999999999,
2016,5.34,,9.74,3.418
2017,5.614,2.307,8.315999999999999,2.307
2018,6.548,2.3040000000000003,11.725,2.3040000000000003
2019,7.93,2.711,13.994000000000002,7.961
2020,8.44,3.2169999999999996,12.712000000000002,3.273
2021,10.288,3.56,27.124,19.589000000000002
2022,11.484,20.721,39.507999999999996,48.044
2023,12.6638854,25.3905018,34.9621731,44.6641104
2024,14.582,29.263,28.869,40.522999999999996
2025,12.85,28.754999999999995,21.955,33.17
